s,Pc
2.0,1.0
3.0,1.0
4.0,0.88388
5.0,0.77465
6.0,0.66653
7.0,0.57423
8.0,0.4952
9.0,0.42901
10.0,0.37279
11.0,0.32771
12.0,0.28836
13.0,0.25758
14.0,0.22892
15.0,0.20505
16.0,0.18452
17.0,0.16714
18.0,0.15288
19.0,0.13928
20.0,0.12691
21.0,0.11659
22.0,0.10719
23.0,0.099243
24.0,0.092562
25.0,0.086661
26.0,0.080898
27.0,0.075752
28.0,0.071134
29.0,0.066481
30.0,0.062501
31.0,0.058539
32.0,0.054834
33.0,0.051152
34.0,0.048971
35.0,0.046114
36.0,0.043933
37.0,0.041053
38.0,0.038986
39.0,0.036946
40.0,0.035231
41.0,0.033891
42.0,0.032584
43.0,0.031516
44.0,0.029851
45.0,0.028543
46.0,0.027479
47.0,0.026672
48.0,0.025422
49.0,0.024648
50.0,0.023315
51.0,0.02285
52.0,0.022167
53.0,0.021684
54.0,0.020456
55.0,0.020321
56.0,0.019458
57.0,0.019056
58.0,0.018141
59.0,0.018098
60.0,0.017591
61.0,0.016862
62.0,0.016525
63.0,0.015803
64.0,0.015454
65.0,0.015187
66.0,0.014263
67.0,0.013891
68.0,0.013412
69.0,0.013273
70.0,0.012761
71.0,0.012365
72.0,0.01213
73.0,0.011577
74.0,0.011223
75.0,0.010846
76.0,0.010669
77.0,0.010487
78.0,0.0099803
79.0,0.0097482
80.0,0.0095194
81.0,0.0091374
82.0,0.0088233
83.0,0.0086954
84.0,0.0085451
85.0,0.0080169
86.0,0.0080709
87.0,0.0079004
88.0,0.0075348
89.0,0.0076146
90.0,0.0073264
91.0,0.0070503
92.0,0.0069021
93.0,0.0068158
94.0,0.0066484
95.0,0.0065431
96.0,0.0063337
97.0,0.0061865
98.0,0.006197
99.0,0.0059626
100.0,0.0058861
101.0,0.0056954
102.0,0.0055814
103.0,0.0056912
104.0,0.0054941
105.0,0.0055168
106.0,0.0054934
107.0,0.0054793
108.0,0.005312
109.0,0.0051765
110.0,0.0051801
111.0,0.005207
112.0,0.0050983
113.0,0.0048389
114.0,0.0047522
115.0,0.0046227
116.0,0.004431
117.0,0.0043664
118.0,0.0042064
119.0,0.0041075
120.0,0.0041992
120.0,0.0042255
121.0,0.004152498125504732
122.0,0.0040813428448501264
123.0,0.004011972880828935
124.0,0.003944329465284542
125.0,0.0038783562172108343
126.0,0.0038139990276908693
127.0,0.0037512059512400642
128.0,0.0036899271031503853
129.0,0.0036301145624603372
130.0,0.0035717222802017228
131.0,0.003514705992598281
132.0,0.0034590231389136053
133.0,0.0034046327836663843
134.0,0.0033514955429500507
135.0,0.0032995735146115813
136.0,0.003248830212060554
137.0,0.003199230501494677
138.0,0.003150740542342077
139.0,0.003103327730733626
140.0,0.0030569606458307123
141.0,0.0030116089988450412
142.0,0.0029672435845975215
143.0,0.002923836235472967
144.0,0.002881359777636362
145.0,0.002839787989384849
146.0,0.002799095561517382
147.0,0.00275925805961131
148.0,0.0027202518881018897
149.0,0.002682054256067102
150.0,0.002644643144626012
151.0,0.002607997275864441
152.0,0.002572096083206856
153.0,0.00253691968315819
154.0,0.0025024488483437967
155.0,0.002468664981779943
156.0,0.002435550092311177
157.0,0.0024030867711545734
158.0,0.00237125816949432
159.0,0.002340047977073315
160.0,0.0023094404017314843
161.0,0.002279420149843343
162.0,0.0022499724076100007
163.0,0.002221082823163292
164.0,0.002192737489442053
165.0,0.0021649229278027727
166.0,0.0021376260723288947
167.0,0.002110834254805007
168.0,0.00208453519032396
169.0,0.0020587169634966734
170.0,0.0020333680152360236
171.0,0.002008477130087689
172.0,0.0019840334240822893
173.0,0.0019600263330844863
174.0,0.001936445601615984
175.0,0.0019132812721305648
176.0,0.0018905236747204202
177.0,0.0018681634172341061
178.0,0.0018461913757874418
179.0,0.0018245986856496336
180.0,0.0018033767324877853
181.0,0.0017825171439538085
182.0,0.001762011781598539
183.0,0.001741852733098621
184.0,0.001722032304782431
185.0,0.0017025430144419903
186.0,0.0016833775844184431
187.0,0.0016645289349492929
188.0,0.001645990177766145
189.0,0.0016277546099322565
190.0,0.0016098157079096982
191.0,0.0015921671218464156
192.0,0.0015748026700739468
193.0,0.0015577163338069712
194.0,0.0015409022520362977
195.0,0.001524354716607267
196.0,0.0015080681674759391
197.0,0.00149203718813577
198.0,0.001476256501207824
199.0,0.0014607209641878797
200.0,0.0014454255653441046
201.0,0.0014303654197592329
202.0,0.001415535765511477
203.0,0.0014009319599886504
204.0,0.0013865494763302237
205.0,0.00137238389999228
206.0,0.0013584309254305385
207.0,0.001344686352896852
208.0,0.0013311460853447589
209.0,0.0013178061254398843
210.0,0.001304662572671149
211.0,0.0012917116205589322
212.0,0.0012789495539564891
