s,Pc
2.0,1.0
3.0,1.0
4.0,0.92064
5.0,0.83739
6.0,0.76251
7.0,0.68995
8.0,0.6318
9.0,0.57874
10.0,0.53755
11.0,0.49922
12.0,0.4674
13.0,0.43897
14.0,0.41589
15.0,0.39301
16.0,0.37431
17.0,0.35641
18.0,0.3411
19.0,0.32673
20.0,0.31417
21.0,0.304
22.0,0.29347
23.0,0.28411
24.0,0.27603
25.0,0.26661
26.0,0.26012
27.0,0.25285
28.0,0.24645
29.0,0.2398
30.0,0.23575
31.0,0.23001
32.0,0.22701
33.0,0.22215
34.0,0.21879
35.0,0.21547
36.0,0.21186
37.0,0.20837
38.0,0.20629
39.0,0.20278
40.0,0.20132
41.0,0.19882
42.0,0.19755
43.0,0.19522
44.0,0.1935
45.0,0.1919
46.0,0.18987
47.0,0.18836
48.0,0.18634
49.0,0.18603
50.0,0.1851
51.0,0.18303
52.0,0.18304
53.0,0.18147
54.0,0.18031
55.0,0.17852
56.0,0.17777
57.0,0.1764
58.0,0.17562
59.0,0.17355
60.0,0.17384
61.0,0.17183
62.0,0.17066
63.0,0.1702
64.0,0.17038
65.0,0.16967
66.0,0.16985
67.0,0.16936
68.0,0.16928
69.0,0.16807
70.0,0.16869
71.0,0.16749
72.0,0.16787
73.0,0.16747
74.0,0.1681
75.0,0.16705
76.0,0.1672
77.0,0.16608
78.0,0.16536
79.0,0.16492
80.0,0.16425
81.0,0.16466
82.0,0.16467
83.0,0.16389
84.0,0.16346
85.0,0.16312
86.0,0.16264
87.0,0.16184
88.0,0.16182
89.0,0.16106
90.0,0.1611
91.0,0.16015
92.0,0.16132
93.0,0.15982
94.0,0.1601
95.0,0.15981
96.0,0.16032
97.0,0.1601
98.0,0.16048
99.0,0.1595
100.0,0.15922
101.0,0.15798
102.0,0.1584
103.0,0.1581
104.0,0.15854
105.0,0.15757
106.0,0.1584
107.0,0.15868
108.0,0.15922
109.0,0.15846
110.0,0.15893
111.0,0.15864
112.0,0.15862
113.0,0.15933
114.0,0.15815
115.0,0.1571
116.0,0.15799
117.0,0.15738
118.0,0.15631
119.0,0.15809
120.0,0.15808
121.0,0.15775
122.0,0.15811
123.0,0.15597
124.0,0.15617
125.0,0.15549
126.0,0.15586
127.0,0.15599
128.0,0.15552
129.0,0.15586
130.0,0.15458
131.0,0.15389
132.0,0.15514
133.0,0.15329
134.0,0.1549
135.0,0.15309
136.0,0.15459
137.0,0.15333
138.0,0.15414
139.0,0.1531
140.0,0.15275
141.0,0.15251
142.0,0.15286
143.0,0.15126
144.0,0.15154
145.0,0.14993
146.0,0.15031
147.0,0.1507
148.0,0.15076
149.0,0.15131
150.0,0.15167
151.0,0.15167
152.0,0.15226
153.0,0.15252
154.0,0.15174
155.0,0.15103
156.0,0.15147
157.0,0.15129
158.0,0.15253
159.0,0.15157
160.0,0.15232
161.0,0.15173
162.0,0.15385
163.0,0.15226
164.0,0.15303
165.0,0.15131
166.0,0.15141
167.0,0.15209
168.0,0.15343
169.0,0.15267
170.0,0.15438
171.0,0.15406
172.0,0.15419
173.0,0.15424
174.0,0.15443
175.0,0.15509
176.0,0.15536
177.0,0.1572
178.0,0.15674
179.0,0.15624
180.0,0.15569
181.0,0.15649
182.0,0.15696
183.0,0.1571
184.0,0.15786
185.0,0.15819
186.0,0.1585
187.0,0.15849
188.0,0.15786
189.0,0.15826
190.0,0.15692
191.0,0.15771
192.0,0.1569
193.0,0.15705
194.0,0.15712
195.0,0.15597
196.0,0.15532
197.0,0.15572
198.0,0.15667
199.0,0.15713
200.0,0.15679
201.0,0.15702
202.0,0.15732
203.0,0.15863
204.0,0.1597
205.0,0.15934
206.0,0.15965
207.0,0.15831
208.0,0.16002
209.0,0.15925
210.0,0.15962
211.0,0.15862
212.0,0.15904
213.0,0.15674
214.0,0.15737
215.0,0.1571
216.0,0.15792
217.0,0.15745
218.0,0.15833
219.0,0.15846
220.0,0.15957
220.0,0.16034
221.0,0.16034
222.0,0.16034
223.0,0.16034
224.0,0.16034
225.0,0.16034
226.0,0.16034
227.0,0.16034
228.0,0.16034
229.0,0.16034
230.0,0.16034
231.0,0.16034
232.0,0.16034
233.0,0.16034
234.0,0.16034
235.0,0.16034
236.0,0.16034
237.0,0.16034
238.0,0.16034
239.0,0.16034
240.0,0.16034
241.0,0.16034
242.0,0.16034
243.0,0.16034
244.0,0.16034
245.0,0.16034
246.0,0.16034
247.0,0.16034
248.0,0.16034
249.0,0.16034
250.0,0.16034
251.0,0.16034
252.0,0.16034
253.0,0.16034
254.0,0.16034
255.0,0.16034
256.0,0.16034
257.0,0.16034
258.0,0.16034
259.0,0.16034
260.0,0.16034
261.0,0.16034
262.0,0.16034
263.0,0.16034
